Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Positive Regulation Of Cell-Matrix Adhesion (GO:0001954),4/43,0.1877671378632606,0.7317456537600887,0,0,1.854292297886944,3.10140161217823,RRAS;CX3CL1;S100A10;VEGFA
GO_Biological_Process_2023,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351),4/43,0.1877671378632606,0.7317456537600887,0,0,1.854292297886944,3.10140161217823,CDH5;MAPK7;HLA-G;ICAM1
GO_Biological_Process_2023,Heart Development (GO:0007507),12/171,0.1886079048444493,0.7317456537600887,0,0,1.3662704038971898,2.27905516174162,PDLIM1;FKBP1A;FOXC1;FN1;NKX2-5;MEGF8;CRIP1;TBX19;EPHB4;PDLIM7;TBX2;VEGFA
GO_Biological_Process_2023,Gland Development (GO:0048732),6/74,0.1921803950142313,0.7317456537600887,0,0,1.595841784989858,2.6320550346456884,ANXA1;IGSF3;MDK;CAV1;SIX1;NKX2-5
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),6/74,0.1921803950142313,0.7317456537600887,0,0,1.595841784989858,2.6320550346456884,ANXA1;VCAM1;CLCF1;SLC7A1;CD276;CD320
GO_Biological_Process_2023,Carbohydrate Derivative Biosynthetic Process (GO:1901137),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,TPI1;TNIP1;GCNT1
GO_Biological_Process_2023,Chondrocyte Differentiation (GO:0002062),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,OSR2;SULF1;SLC39A14
GO_Biological_Process_2023,Maintenance Of Blood-Brain Barrier (GO:0035633),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,CDH5;LAMC1;VCL
GO_Biological_Process_2023,Modified Amino Acid Transport (GO:0072337),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,SLC25A15;SLC7A1;FOLR1
GO_Biological_Process_2023,Negative Regulation Of DNA Binding (GO:0043392),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,HEY1;SMO;MDFI
GO_Biological_Process_2023,Regulation Of Blood Coagulation (GO:0030193),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,CAV1;F12;F2R
GO_Biological_Process_2023,Regulation Of Neuron Migration (GO:2001222),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,MDK;KIF26A;CX3CL1
GO_Biological_Process_2023,Regulation Of Voltage-Gated Calcium Channel Activity (GO:1901385),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,CACNB3;STAC2;GNB5
GO_Biological_Process_2023,Sarcomere Organization (GO:0045214),3/29,0.1933438489977301,0.7317456537600887,0,0,2.085519065461759,3.4271023522774064,CSRP2;SIX4;TPM1
GO_Biological_Process_2023,Negative Regulation Of Cellular Process (GO:0048523),33/537,0.1967500291952631,0.7317456537600887,0,0,1.1875848667884066,1.9308007046426543,KANK2;NPR1;TGFB1I1;PTHLH;MDK;PODXL;MYC;SESN2;ANXA6;TNFRSF8;SPEG;IGFBP7;IGFBP6;HOXC9;PLXNA4;E2F7;ZBTB7C;APOBEC3C;IGFBP3;F2R;HMGA1;P3H3;SOD2;ESR2;NME1;SFRP4;MYO1C;TAF6;NUPR1;TGFBI;INHA;TP53;APOBEC3B
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),5/59,0.196811716758806,0.7317456537600887,0,0,1.674286726918306,2.721566066669141,CXCL10;FOXC1;CXCL3;CXCL2;CX3CL1
GO_Biological_Process_2023,Chordate Embryonic Development (GO:0043009),5/59,0.196811716758806,0.7317456537600887,0,0,1.674286726918306,2.721566066669141,COL1A1;SIX4;NKX2-5;SULF1;VEGFA
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),24/379,0.1981230871476137,0.7317456537600887,0,0,1.2252697471377976,1.983548501419352,KANK2;IGFBP5;TGFB1I1;IGFBP3;F2R;HMGA1;P3H3;SOD2;PTHLH;NME1;SFRP4;MYO1C;MYC;MARVELD3;TNFRSF8;SPEG;IGFBP7;NUPR1;IGFBP6;SLC16A2;TP53;EMD;E2F7;ZBTB7C
GO_Biological_Process_2023,Extracellular Matrix Disassembly (GO:0022617),4/44,0.1986148868829822,0.7317456537600887,0,0,1.8078393881453156,2.922169117455521,ADAMTS15;MMP14;MMP7;LAMC1
GO_Biological_Process_2023,Positive Regulation Of Chemotaxis (GO:0050921),4/44,0.1986148868829822,0.7317456537600887,0,0,1.8078393881453156,2.922169117455521,SMOC2;MDK;MEGF8;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Nucleocytoplasmic Transport (GO:0046824),4/44,0.1986148868829822,0.7317456537600887,0,0,1.8078393881453156,2.922169117455521,ZIC1;FLNA;CAMK1;EMD
