Ensembl Gene ID,Gene Name,log2(Fold Change),adjusted p,biotype,direction
ENSG00000152207,CYSLTR2,3.74304892085021,0.0491412978999642,protein_coding,Upregulated
ENSG00000066279,ASPM,3.69487639800441,0.00217774319890605,protein_coding,Upregulated
ENSG00000223749,MIR503HG,3.65336501316264,0.00674328203815372,lincRNA,Upregulated
ENSG00000197747,S100A10,3.64701316638552,0.000216452234203424,protein_coding,Upregulated
ENSG00000123496,IL13RA2,3.61704827411597,0.0295370887862188,protein_coding,Upregulated
ENSG00000154451,GBP5,3.58999629089027,0.0115610473280961,protein_coding,Upregulated
ENSG00000274618,HIST1H4F,3.57908418800887,0.0229400375801636,protein_coding,Upregulated
ENSG00000109805,NCAPG,3.57137730876768,0.00285103178665847,protein_coding,Upregulated
ENSG00000115884,SDC1,3.57002134505397,0.00400337051327315,protein_coding,Upregulated
ENSG00000174059,CD34,3.56677606073166,0.000157021003803112,protein_coding,Upregulated
ENSG00000126787,DLGAP5,3.53950939343109,0.0308403359972874,protein_coding,Upregulated
ENSG00000272398,CD24,3.5251743520774,0.000529642991756802,protein_coding,Upregulated
ENSG00000270547,LINC01235,3.52291051201014,0.00459393649824918,lincRNA,Upregulated
ENSG00000064886,CHI3L2,3.51803257652209,0.0054608536954733,protein_coding,Upregulated
ENSG00000138829,FBN2,3.50609659742996,0.00481856404247878,protein_coding,Upregulated
ENSG00000004838,ZMYND10,3.49854071421366,0.00313755953846163,protein_coding,Upregulated
ENSG00000165304,MELK,3.49106539965693,0.00343286780882906,protein_coding,Upregulated
ENSG00000198353,HOXC4,3.48401706888316,0.041779865051232,protein_coding,Upregulated
ENSG00000155761,SPAG17,3.48339669155056,0.0137245155453874,protein_coding,Upregulated
ENSG00000112984,KIF20A,3.48014510971262,4.34358244605947e-05,protein_coding,Upregulated
ENSG00000092853,CLSPN,3.45467436708822,0.00167644864787269,protein_coding,Upregulated
ENSG00000088325,TPX2,3.43178246478987,1.98622913918086e-07,protein_coding,Upregulated
ENSG00000276269,AL355974.3,3.42350721002191,0.0235958330810955,lincRNA,Upregulated
ENSG00000198768,APCDD1L,3.40709863805718,0.0360004486123089,protein_coding,Upregulated
ENSG00000157765,SLC34A2,3.38521861759974,0.0425167436691068,protein_coding,Upregulated
ENSG00000154760,SLFN13,3.38469786751915,0.0360159577472633,protein_coding,Upregulated
ENSG00000093009,CDC45,3.38101505291874,0.0212624290699123,protein_coding,Upregulated
ENSG00000136999,NOV,3.3723846433402,0.00141663833998936,protein_coding,Upregulated
ENSG00000255737,AGAP2-AS1,3.35045169382661,0.000998108230607878,antisense_RNA,Upregulated
ENSG00000122176,FMOD,3.34066445622228,0.0154380934451922,protein_coding,Upregulated
ENSG00000121152,NCAPH,3.33698408886624,0.000502264652920449,protein_coding,Upregulated
ENSG00000172965,MIR4435-2HG,3.33462162126571,0.00149952225015873,lincRNA,Upregulated
ENSG00000088882,CPXM1,3.32988235676834,0.00775701799811863,protein_coding,Upregulated
ENSG00000121898,CPXM2,3.32015035069479,0.0426757593175907,protein_coding,Upregulated
ENSG00000239887,C1orf226,3.31653240271389,8.86704681995172e-05,protein_coding,Upregulated
ENSG00000162873,KLHDC8A,3.31154468378861,0.0102847865004089,protein_coding,Upregulated
ENSG00000257842,NOVA1-AS1,3.30710197614231,0.00843736413104567,antisense_RNA,Upregulated
ENSG00000167011,NAT16,3.27876415560037,0.00813603294392852,protein_coding,Upregulated
ENSG00000132688,NES,3.25651262541137,1.18057438672557e-08,protein_coding,Upregulated
ENSG00000138180,CEP55,3.25610052489662,0.0152150459075563,protein_coding,Upregulated
ENSG00000112319,EYA4,3.25349376379376,9.17090579727711e-06,protein_coding,Upregulated
ENSG00000276903,HIST1H2AL,3.24434401793597,0.000171542498095867,protein_coding,Upregulated
ENSG00000101447,FAM83D,3.22882254558043,0.00267095611525183,protein_coding,Upregulated
ENSG00000232021,LEF1-AS1,3.22070665765808,0.0343126390333432,processed_transcript,Upregulated
